it,current,target,prediction,correct
1043,9,6,1,0,64.9857
1051,8,5,5,1,63.0101
1060,4,6,1,0,61.4099
1069,4,1,1,1,60.1040
1077,3,0,0,1,59.1416
1085,8,0,5,0,58.4590
1094,4,6,1,0,57.5200
1103,4,6,1,0,56.7833
1111,3,0,5,0,56.1275
1119,3,0,0,1,55.2145
1127,3,5,5,1,54.6462
1136,9,1,6,0,53.5747
1144,3,5,0,0,52.9851
1153,4,6,6,1,51.6392
1162,4,6,6,1,50.3420
1170,3,5,5,1,49.2675
1179,4,6,6,1,48.0223
1188,4,1,1,1,46.8390
1196,8,0,5,0,45.9984
1205,9,1,1,1,44.8499
1214,9,1,1,1,43.8302
1222,3,5,5,1,43.1498
1231,9,1,1,1,42.0988
1239,8,0,0,1,41.2791
1248,4,1,1,1,40.1956
1257,4,1,1,1,39.1065
1265,8,0,0,1,38.4840
1274,9,6,6,1,37.7464
1283,4,1,1,1,37.0787
1292,9,6,6,1,36.6396
1301,9,1,1,1,35.9658
1309,3,0,0,1,35.4182
1317,8,5,5,1,35.0829
1325,3,0,0,1,34.6394
1334,9,1,1,1,33.9932
1343,9,1,1,1,33.3603
1352,4,6,6,1,32.9709
1361,4,6,6,1,32.3976
1370,4,6,6,1,32.1657
1379,4,1,1,1,31.7304
1387,3,5,5,1,31.3958
1396,9,1,1,1,30.7243
1405,4,6,6,1,30.1707
1414,4,1,1,1,29.6503
1423,9,6,6,1,29.3622
1432,9,6,6,1,28.8752
1441,9,1,1,1,28.3714
1450,4,6,6,1,28.4502
1459,9,6,6,1,28.1622
1468,4,1,1,1,27.7414
1476,3,0,0,1,27.4879
1485,9,1,1,1,27.1752
1493,3,0,0,1,26.9816
1501,8,0,0,1,26.7833
1509,3,0,0,1,26.5697
1517,3,0,0,1,26.3928
1526,4,6,6,1,26.2370
1535,4,1,1,1,25.8287
1544,9,1,1,1,25.8459
1552,8,0,0,1,25.8470
1561,4,1,1,1,25.4426
1569,8,5,5,1,25.4232
1578,9,6,6,1,25.2921
1586,3,0,0,1,25.0673
1595,4,1,1,1,24.6847
1604,4,1,1,1,24.3240
1612,3,0,0,1,24.1446
1621,9,1,1,1,24.0211
1629,3,0,0,1,23.6364
1638,9,1,1,1,23.2838
1647,4,1,1,1,23.2962
1655,8,5,5,1,23.2334
1664,9,1,1,1,23.1882
1672,8,0,0,1,23.1434
1680,8,5,5,1,23.0058
1688,3,0,0,1,23.0851
1697,4,6,6,1,23.0653
1706,4,1,1,1,22.5793
1714,3,5,5,1,22.5581
1722,3,0,0,1,22.4302
1731,9,6,6,1,22.4623
1740,9,1,1,1,22.1903
1749,9,6,6,1,22.3127
1757,3,5,5,1,21.9947
1766,9,1,1,1,22.2888
1775,4,1,1,1,21.9313
1784,4,1,1,1,21.6659
1793,9,1,1,1,21.5349
1801,3,5,5,1,21.2172
1809,3,5,5,1,21.6134
1818,4,6,6,1,21.2627
1827,9,6,6,1,21.3531
1835,3,5,5,1,21.2929
1844,4,1,1,1,21.4951
1853,9,6,6,1,21.1377
1861,3,0,0,1,21.0351
1869,3,0,0,1,20.6933
1878,4,1,1,1,20.5109
1887,4,6,6,1,20.5144
1895,3,0,0,1,20.3278
1903,3,5,5,1,20.1731
1912,9,1,1,1,19.8734
1921,9,6,6,1,19.6605
1929,3,5,5,1,19.9948
1938,9,6,6,1,20.2488
1947,4,6,6,1,19.8402
1956,4,1,1,1,19.7252
1965,9,1,1,1,19.3613
1973,8,0,0,1,19.3075
1982,4,6,6,1,19.0389
1991,9,6,6,1,18.8192
1999,3,0,0,1,18.7624
2007,8,0,0,1,18.7141
2015,3,0,0,1,18.5814
2023,3,5,5,1,18.5038
2031,3,5,5,1,18.4831
2039,8,5,5,1,18.3123
2047,3,0,0,1,18.0844
2055,8,5,5,1,18.0732
2064,4,1,1,1,17.9219
2072,3,0,0,1,18.1567
2081,9,1,1,1,17.8495
2089,8,0,0,1,17.9183
2098,9,1,1,1,17.7238
2106,3,5,5,1,17.6795
2115,4,6,6,1,17.5139
2123,3,5,5,1,17.3621
2132,4,1,1,1,17.3270
2141,4,6,6,1,17.2651
2149,3,0,0,1,17.3544
2158,9,1,1,1,17.2827
2167,4,6,6,1,17.5330
2175,8,5,5,1,17.4741
2184,4,1,1,1,17.3449
2193,4,6,6,1,17.3056
2202,4,6,6,1,16.9297
2210,8,5,5,1,16.9629
2218,3,5,5,1,17.0259
2226,3,0,0,1,16.7561
2234,3,0,0,1,16.8389
2243,9,1,1,1,16.8758
2251,3,5,5,1,16.6511
2259,3,5,5,1,16.4332
2268,4,6,6,1,16.1094
2276,8,0,0,1,16.1973
2285,4,6,6,1,16.2229
2294,4,6,6,1,16.0566
2303,4,1,1,1,15.8785
2311,8,0,0,1,16.2068
2319,3,0,0,1,15.9104
2328,4,1,1,1,15.8541
2337,4,6,6,1,15.6241
2346,9,1,1,1,15.7923
2355,4,1,1,1,15.5866
2364,9,1,1,1,15.3754
2372,3,0,0,1,15.2728
2381,4,1,1,1,15.4916
2390,4,1,1,1,15.2197
2398,3,0,0,1,15.2158
2407,9,1,1,1,15.0553
2415,8,0,0,1,15.0649
2424,9,1,1,1,15.3463
2432,3,5,5,1,15.3141
2441,4,6,6,1,15.1064
2449,3,0,0,1,15.0698
2457,3,5,5,1,14.7575
2466,4,6,6,1,14.5902
2475,9,1,1,1,14.6670
2483,3,0,0,1,14.8267
2491,3,0,0,1,14.7808
2500,4,1,1,1,14.7260
2509,4,1,1,1,14.5446
2518,4,1,1,1,14.8788
2526,8,5,5,1,14.8161
2535,4,6,6,1,14.8812
2543,8,5,5,1,14.9394
2552,4,6,6,1,14.7472
2561,4,1,1,1,14.3852
2570,4,6,6,1,14.5430
2579,9,6,6,1,14.5260
2587,8,5,5,1,14.4974
2596,9,6,6,1,14.4207
2605,9,1,1,1,14.4342
2614,4,6,6,1,14.4668
2622,8,0,0,1,14.4275
2630,8,0,0,1,14.7436
2638,3,5,5,1,14.8054
2647,9,1,1,1,14.9273
2655,8,0,0,1,15.0366
2664,9,6,6,1,15.0360
2672,8,5,5,1,15.1126
2681,9,1,1,1,15.0206
2690,9,6,6,1,14.8207
2699,4,1,1,1,14.8581
2708,4,6,6,1,14.7232
2717,4,6,6,1,14.6868
2726,9,1,1,1,14.6314
2735,9,1,1,1,14.6472
2744,4,1,1,1,14.3091
2753,9,1,1,1,14.2413
2762,9,1,1,1,14.3527
2770,3,0,0,1,14.3698
2778,8,5,5,1,14.6877
2787,9,6,6,1,14.4671
2796,4,6,6,1,14.3300
2804,3,5,5,1,14.5006
2813,9,1,1,1,14.4096
2822,4,1,1,1,14.4049
2830,8,0,0,1,14.4933
2838,3,5,5,1,14.6881
2846,3,0,0,1,14.6264
2855,9,1,1,1,14.3422
2863,3,5,5,1,14.4232
2871,8,5,5,1,14.1765
2879,8,0,0,1,14.3828
2887,8,5,5,1,14.3563
2895,8,0,0,1,14.7791
2904,4,6,6,1,14.6848
2912,8,0,0,1,14.4561
2921,4,6,6,1,14.4328
2929,8,5,5,1,14.3048
2938,9,6,6,1,14.0295
2947,9,1,1,1,13.8612
2956,4,1,1,1,13.8830
2964,8,0,0,1,13.8127
2973,4,1,1,1,13.6883
2981,8,0,0,1,13.7540
2989,8,0,0,1,13.7806
2998,4,1,1,1,13.8281
3006,8,0,0,1,13.8414
3014,8,5,5,1,13.8756
3022,8,5,5,1,13.8686
3031,4,1,1,1,13.5804
3039,3,0,0,1,13.9604
3048,9,1,1,1,13.7996
3057,4,6,6,1,13.5629
3066,9,6,6,1,13.7685
3075,4,1,1,1,13.5239
3083,8,0,0,1,13.5627
3091,3,0,0,1,13.4791
3099,8,0,0,1,13.4883
3108,9,1,1,1,13.3331
3116,3,0,0,1,13.4341
3124,3,0,0,1,13.3618
3132,3,5,5,1,13.2632
3140,8,0,0,1,13.3237
3148,8,5,5,1,13.2325
3157,9,6,6,1,13.1668
3165,8,5,5,1,13.4932
3174,9,6,6,1,13.3183
3182,8,5,5,1,13.1274
3191,4,6,6,1,12.9263
3199,8,0,0,1,12.7380
3207,8,5,5,1,12.7497
3216,9,6,6,1,12.5513
3224,8,5,5,1,12.5136
3232,8,0,0,1,12.5247
3240,8,0,0,1,12.9318
3248,3,0,0,1,13.0268
3256,3,0,0,1,12.8215
3265,9,1,1,1,12.6254
3274,4,6,6,1,12.4649
3283,9,1,1,1,12.5733
3291,3,5,5,1,12.7327
3299,3,0,0,1,12.6967
3307,8,0,0,1,12.6789
3315,8,5,5,1,12.5126
3324,4,1,1,1,12.3158
3332,8,0,0,1,12.3252
3340,3,5,5,1,12.5409
3349,9,6,6,1,12.7005
3357,3,0,0,1,12.5729
3366,4,6,6,1,12.5638
3374,3,0,0,1,12.3385
3383,4,6,6,1,12.4384
3392,4,6,6,1,12.1727
3401,9,1,1,1,12.1969
3409,3,0,0,1,12.0752
3418,4,6,6,1,12.0288
3427,9,6,6,1,11.9612
3435,3,0,0,1,12.0014
3444,9,6,6,1,12.4941
3452,8,0,0,1,12.6094
3460,8,0,0,1,12.6639
3469,4,6,6,1,12.5217
3478,4,1,1,1,12.6878
3486,3,5,5,1,12.7210
3495,9,6,6,1,12.7725
3503,3,0,0,1,12.6991
3512,9,6,6,1,12.5093
3520,3,0,0,1,12.4753
3529,4,6,6,1,12.5070
3537,8,0,0,1,12.6680
3546,4,6,6,1,12.3032
3554,3,5,5,1,12.3857
3563,9,1,1,1,12.4637
3572,9,1,1,1,12.6259
3581,9,1,1,1,12.5214
3590,4,6,6,1,12.7610
3598,8,0,0,1,13.1377
3607,4,6,6,1,12.9232
3616,9,6,6,1,12.7116
3624,8,5,5,1,12.8579
3632,8,0,0,1,13.0909
3640,3,5,5,1,12.9058
3649,9,6,6,1,12.7786
3657,8,0,0,1,12.6381
3666,9,1,1,1,12.4256
3674,3,0,0,1,12.3626
3683,9,6,6,1,12.3109
3691,8,5,5,1,12.2506
3700,4,6,6,1,12.2123
3708,3,5,5,1,12.3512
3717,4,6,6,1,12.5758
3725,8,5,5,1,12.5055
3734,9,1,1,1,12.3745
3742,3,5,5,1,12.8174
3750,3,5,5,1,12.8278
3759,4,1,1,1,12.9216
3768,4,6,6,1,13.0684
3776,3,5,5,1,13.0979
3784,3,0,0,1,12.9985
3792,8,0,0,1,12.7997
3800,8,5,5,1,12.4787
3808,3,0,0,1,12.4200
3816,3,5,5,1,12.3292
3824,8,0,0,1,12.1799
3832,3,5,5,1,11.9733
3841,4,6,6,1,11.9021
3849,8,0,0,1,11.8809
3857,3,0,0,1,11.8851
3865,8,5,5,1,12.1483
3874,4,6,6,1,12.0071
3883,9,6,6,1,11.8852
3891,3,5,5,1,12.3950
3900,9,1,1,1,12.2182
3908,8,5,5,1,12.2130
3916,8,0,0,1,12.2803
3924,8,5,5,1,12.3962
3932,8,0,0,1,12.2300
3941,4,6,6,1,12.2252
3949,3,5,5,1,12.0748
3957,8,0,0,1,11.9952
3966,4,1,1,1,11.9851
3975,9,6,6,1,12.0321
3983,8,5,5,1,11.8493
3991,8,0,0,1,11.8456
3999,3,0,0,1,11.8076
4008,9,6,6,1,11.6813
4016,8,0,0,1,12.0754
4025,4,6,6,1,11.8715
4033,8,5,5,1,11.8280
4042,9,1,1,1,11.6388
4050,8,0,0,1,11.7438
4058,3,5,5,1,11.7905
4067,4,6,6,1,11.7391
4075,3,5,5,1,11.5178
4084,4,1,1,1,11.4181
4093,4,6,6,1,11.4241
4102,4,6,6,1,11.8709
4111,9,6,6,1,11.6350
4119,3,5,5,1,11.5657
4128,4,6,6,1,11.5585
4137,4,1,1,1,11.4149
4146,4,6,6,1,11.4498
4155,9,6,6,1,11.1723
4164,9,6,6,1,11.2826
4172,3,0,0,1,11.2296
4181,4,6,6,1,11.3607
4190,9,1,1,1,11.5164
4199,4,1,1,1,11.4885
4208,9,1,1,1,11.4320
4217,9,1,1,1,11.3317
4226,9,1,1,1,11.1500
4235,9,6,6,1,11.3568
4244,4,1,1,1,11.5650
4253,9,1,1,1,11.7308
4261,8,0,0,1,11.4976
4270,4,6,6,1,11.6388
4278,3,0,0,1,11.6187
4286,8,5,5,1,11.6716
4294,8,5,5,1,11.5538
4302,8,5,5,1,11.5155
4311,4,6,6,1,11.4352
4319,8,5,5,1,11.3557
4327,3,0,0,1,11.5879
4335,8,5,5,1,11.4192
4343,3,0,0,1,11.5323
4351,3,5,5,1,11.7127
4359,8,5,5,1,11.4781
4368,9,6,6,1,11.6409
4377,4,6,6,1,11.6273
4386,4,1,1,1,11.7684
4395,4,6,6,1,11.5778
4403,8,0,0,1,11.5034
4412,4,1,1,1,11.6716
4420,3,5,5,1,11.9712
4428,3,5,5,1,11.9140
4436,3,0,0,1,11.8012
4444,8,5,5,1,11.6357
4452,8,5,5,1,11.4450
4460,3,5,5,1,11.4413
4469,9,1,1,1,11.6488
4477,3,0,0,1,11.6466
4485,8,5,5,1,11.6563
4493,3,5,5,1,11.7968
4502,9,1,1,1,11.5670
4510,8,0,0,1,11.5445
4519,4,1,1,1,11.4505
4528,9,6,6,1,11.5028
4537,4,1,1,1,11.2603
4546,9,6,6,1,11.1102
4554,8,5,5,1,11.4211
4562,8,0,0,1,11.2544
4570,3,0,0,1,11.3679
4578,8,5,5,1,11.1820
4586,8,0,0,1,11.0133
4594,8,0,0,1,11.0999
4603,9,6,6,1,11.0819
4612,4,1,1,1,10.9536
4620,8,5,5,1,11.3676
4629,9,1,1,1,11.2369
4638,4,1,1,1,11.3761
4647,9,1,1,1,11.1649
4656,9,1,1,1,11.0318
4665,9,1,1,1,10.9726
4673,8,0,0,1,11.0081
4681,8,5,5,1,11.0062
4690,9,1,1,1,10.9809
4699,4,1,1,1,10.7516
4708,4,1,1,1,11.1082
4717,9,1,1,1,10.9814
4726,9,1,1,1,10.7810
4735,9,1,1,1,10.6094
4744,9,6,6,1,10.7615
4753,4,1,1,1,10.7716
4761,8,5,5,1,10.7380
4770,4,1,1,1,10.5394
4778,3,0,0,1,10.9671
4787,4,6,6,1,10.9199
4795,8,0,0,1,11.1399
4804,4,1,1,1,10.8415
4813,9,1,1,1,10.8665
4821,8,0,0,1,10.6944
4830,4,1,1,1,10.5424
4838,3,0,0,1,10.6867
4846,3,0,0,1,10.8122
4854,8,0,0,1,10.8775
4862,8,0,0,1,10.9303
4870,8,0,0,1,10.8869
4879,9,1,1,1,10.9133
4888,4,1,1,1,10.6973
4896,8,0,0,1,10.9505
4904,8,5,5,1,11.1014
4912,3,5,5,1,10.8945
4920,3,0,0,1,10.9457
4929,4,6,6,1,10.6883
4938,9,1,1,1,10.6078
4947,4,6,6,1,11.0442
4955,8,0,0,1,11.2969
4964,4,1,1,1,11.1391
4972,3,0,0,1,10.9553
4981,4,1,1,1,10.9166
4990,9,1,1,1,11.0996
4998,3,5,5,1,11.2896
5006,3,5,5,1,11.3291
5015,4,1,1,1,11.4404
5024,9,1,1,1,10.9991
5032,3,5,5,1,10.9546
5040,8,5,5,1,11.1195
5048,3,0,0,1,11.0715
5057,9,6,6,1,10.9904
5065,8,0,0,1,11.0594
5074,9,6,6,1,10.9900
5082,3,5,5,1,10.9665
5091,4,1,1,1,10.6692
5099,3,0,0,1,10.8963
5107,8,5,5,1,10.6953
5116,4,6,6,1,10.7083
5125,4,1,1,1,10.6124
5134,4,1,1,1,10.5045
5143,4,1,1,1,10.3815
5151,8,0,0,1,10.4177
5160,9,6,6,1,10.3905
5168,3,5,5,1,10.4728
5176,8,5,5,1,10.5233
5184,8,5,5,1,10.4060
5192,8,0,0,1,10.4164
5200,8,5,5,1,10.3020
5208,3,0,0,1,10.3854
5216,8,0,0,1,10.4760
5224,3,0,0,1,10.6181
5233,9,1,1,1,10.4663
5241,3,0,0,1,10.3399
5249,8,0,0,1,10.4355
5258,4,1,1,1,10.8585
5267,4,1,1,1,10.3882
5275,3,0,0,1,10.3195
5283,8,5,5,1,10.2302
5292,9,6,6,1,10.3042
5300,3,0,0,1,10.4174
5309,9,6,6,1,10.5585
5318,4,1,1,1,10.5382
5326,3,0,0,1,10.4786
5334,8,0,0,1,10.4012
5342,3,5,5,1,10.6995
5350,3,0,0,1,10.4621
5359,4,1,1,1,10.4140
5367,8,5,5,1,10.5360
5376,4,6,6,1,10.4215
5385,9,6,6,1,10.4387
5393,8,0,0,1,10.2980
5401,3,0,0,1,10.5299
5409,3,0,0,1,10.6344
5418,4,1,1,1,10.2778
5427,9,1,1,1,10.0640
5435,8,5,5,1,10.2820
5444,9,1,1,1,10.4523
5452,8,0,0,1,10.7060
5460,8,5,5,1,10.5445
5469,9,6,6,1,10.2649
5477,8,5,5,1,10.0543
5486,4,1,1,1,10.0668
5494,8,5,5,1,10.5475
5502,3,0,0,1,10.5748
5511,4,6,6,1,10.4036
5520,4,6,6,1,10.2622
5528,3,0,0,1,10.3112
5537,9,1,1,1,10.1541
5546,9,1,1,1,9.8902
5555,9,6,6,1,10.0219
5563,8,0,0,1,10.3948
5572,9,1,1,1,10.3271
5581,9,1,1,1,10.4472
5590,4,6,6,1,10.4518
5599,9,6,6,1,10.1706
5608,4,1,1,1,10.1346
5617,9,6,6,1,9.9418
5625,3,0,0,1,10.0727
5634,4,1,1,1,9.8744
5643,9,6,6,1,9.7781
5651,3,5,5,1,9.9707
5659,3,0,0,1,9.9993
5667,3,5,5,1,10.2677
5675,8,0,0,1,10.1428
5683,8,5,5,1,10.0793
5692,4,6,6,1,9.8275
5700,3,0,0,1,9.9829
5709,9,6,6,1,9.8246
5718,4,1,1,1,9.7552
5726,3,5,5,1,9.9987
5735,4,6,6,1,9.9642
5743,8,5,5,1,9.9932
5752,4,6,6,1,9.7491
5761,4,6,6,1,10.0145
5769,3,0,0,1,9.8915
5777,3,5,5,1,9.9133
5785,8,5,5,1,10.0618
5794,9,6,6,1,10.1337
5802,8,0,0,1,9.9239
5811,4,6,6,1,9.9911
5819,3,5,5,1,10.0857
5828,4,1,1,1,10.1605
5837,9,1,1,1,9.9040
5846,9,6,6,1,9.7682
5854,8,0,0,1,9.5162
5862,3,0,0,1,9.6996
5870,3,0,0,1,9.8812
5878,8,5,5,1,10.0002
5887,4,6,6,1,9.9277
5895,8,0,0,1,10.0575
5904,9,1,1,1,9.9410
5912,3,5,5,1,10.0447
5920,3,5,5,1,10.0893
5928,3,0,0,1,10.1908
5937,4,1,1,1,10.2503
5945,8,5,5,1,10.4673
5954,4,6,6,1,10.1983
5962,3,5,5,1,10.1139
5971,9,6,6,1,10.2014
5979,8,0,0,1,10.1404
5987,8,5,5,1,10.2801
5995,3,5,5,1,10.6398
6003,8,5,5,1,10.3218
6012,9,1,1,1,9.9745
6020,3,0,0,1,9.8899
6028,8,0,0,1,10.1849
6037,4,1,1,1,9.9716
6046,9,6,6,1,9.8885
6055,4,6,6,1,9.8820
6064,9,6,6,1,9.6742
6072,3,5,5,1,9.8418
6081,9,6,6,1,10.0010
6090,9,6,6,1,9.8861
6098,3,5,5,1,9.8650
6106,8,5,5,1,9.9776
6115,4,6,6,1,9.9468
6123,8,0,0,1,9.8786
6131,8,0,0,1,9.9272
6140,4,6,6,1,9.7728
6148,3,5,5,1,9.7510
6157,9,1,1,1,9.7128
6166,4,6,6,1,9.6585
6174,3,0,0,1,9.7187
6183,9,1,1,1,9.6244
6191,3,5,5,1,9.9022
6200,9,6,6,1,9.7389
6209,9,1,1,1,9.8994
6218,9,6,6,1,10.0146
6227,9,1,1,1,10.1950
6235,8,0,0,1,10.5849
6244,9,6,6,1,10.4853
6253,9,6,6,1,10.1811
6262,4,6,6,1,10.1318
6270,3,5,5,1,10.1120
6278,8,5,5,1,10.0530
6287,4,6,6,1,10.0552
6296,4,6,6,1,10.1233
6305,9,6,6,1,10.0610
6314,4,6,6,1,9.9506
6323,4,6,6,1,9.8911
6331,3,0,0,1,10.0562
6340,9,1,1,1,10.1071
6348,3,0,0,1,10.2226
6356,3,5,5,1,10.1239
6364,8,5,5,1,10.0255
6373,9,6,6,1,10.0402
6382,9,6,6,1,9.7626
6391,4,6,6,1,9.8866
6399,3,5,5,1,9.6977
6407,3,0,0,1,9.7688
6415,3,0,0,1,9.7198
6423,3,5,5,1,9.8757
6432,9,1,1,1,9.6948
6440,3,0,0,1,9.9122
6448,3,5,5,1,9.9932
6457,4,6,6,1,9.9186
6465,3,5,5,1,9.7741
6473,8,5,5,1,9.7165
6481,3,0,0,1,9.7546
6489,3,0,0,1,9.5677
6497,3,0,0,1,9.4163
6505,8,5,5,1,9.7629
6513,8,5,5,1,9.9790
6521,8,0,0,1,10.2288
6529,3,0,0,1,10.3488
6538,4,1,1,1,10.3234
6547,4,1,1,1,10.4339
6555,3,5,5,1,10.4587
6564,9,6,6,1,10.1665
6572,8,0,0,1,10.1158
6580,8,0,0,1,10.1765
6589,9,1,1,1,10.1289
6597,3,0,0,1,9.7638
6605,3,5,5,1,9.6144
6614,9,6,6,1,9.7138
6622,3,0,0,1,9.4898
6631,9,6,6,1,9.2828
6639,8,0,0,1,9.2597
6648,9,1,1,1,9.3585
6656,3,5,5,1,9.6682
6664,3,5,5,1,9.6674
6673,4,1,1,1,9.5920
6682,9,1,1,1,9.7087
6690,3,5,5,1,9.6388
6698,8,0,0,1,9.4126
6706,3,0,0,1,9.3987
6714,3,5,5,1,9.4602
6723,4,1,1,1,9.7616
6731,8,0,0,1,9.7105
6740,9,6,6,1,9.6773
6748,3,5,5,1,9.8467
6756,8,0,0,1,9.8922
6765,9,1,1,1,9.8670
6774,9,1,1,1,9.6272
6782,8,5,5,1,9.8295
6790,3,5,5,1,9.7830
6799,9,1,1,1,9.5382
6808,9,1,1,1,9.7430
6817,4,1,1,1,9.9884
6826,9,1,1,1,9.7747
6835,9,1,1,1,9.7345
6843,3,0,0,1,9.8871
6851,3,5,5,1,9.9473
6860,4,1,1,1,9.8388
6869,9,6,6,1,9.7248
6878,4,1,1,1,9.7224
6886,8,5,5,1,9.5750
6895,9,6,6,1,9.4742
6904,9,1,1,1,9.4535
6913,9,1,1,1,9.2800
6921,3,5,5,1,9.4501
6930,9,1,1,1,9.5807
6939,4,1,1,1,9.6751
6947,3,0,0,1,9.6298
6956,9,6,6,1,9.7570
6965,9,6,6,1,9.5416
6973,3,0,0,1,9.5702
6982,4,1,1,1,9.4539
6991,4,1,1,1,9.3708
7000,9,6,6,1,9.4648
7009,9,1,1,1,9.7747
7017,3,0,0,1,9.7741
7026,9,1,1,1,9.6748
7035,9,1,1,1,9.6242
7043,8,0,0,1,9.8509
7052,4,6,6,1,9.7187
7060,8,5,5,1,9.6465
7068,8,5,5,1,9.8590
7076,8,5,5,1,9.8484
7085,4,6,6,1,9.8471
7093,3,5,5,1,9.6893
7101,8,0,0,1,9.6712
7109,8,5,5,1,9.5367
7117,8,5,5,1,9.4945
7125,3,0,0,1,9.3828
7133,8,0,0,1,9.3134
7141,8,5,5,1,9.8146
7150,9,1,1,1,9.8447
7159,9,6,6,1,9.5944
7167,8,0,0,1,9.8504
7175,8,5,5,1,9.4801
7183,3,0,0,1,9.4400
7192,9,1,1,1,9.4805
7201,9,1,1,1,9.4409
7209,3,0,0,1,9.4244
7217,8,0,0,1,9.4289
7225,3,0,0,1,9.3631
7233,8,0,0,1,9.3729
7241,3,0,0,1,9.5051
7250,9,1,1,1,9.5844
7259,9,6,6,1,9.6846
7268,4,6,6,1,9.5313
7277,4,6,6,1,9.4106
7285,8,5,5,1,9.4509
7293,3,5,5,1,9.4704
7301,3,5,5,1,9.6117
7309,3,5,5,1,9.7854
7317,3,0,0,1,9.5783
7326,4,6,6,1,9.6367
7335,9,6,6,1,9.4672
7343,3,0,0,1,9.5161
7352,4,1,1,1,9.5744
7360,3,5,5,1,9.6093
7368,3,5,5,1,9.5553
7376,3,0,0,1,9.4245
7384,3,0,0,1,9.4686
7392,8,5,5,1,9.5270
7400,3,0,0,1,9.4475
7409,4,6,6,1,9.3915
7417,8,0,0,1,9.2544
7426,4,6,6,1,9.1862
7435,4,1,1,1,9.3792
